peers,enable_dp,enable_chunking,condition,mean_accuracy,std_accuracy_across_seeds,mean_node_std_accuracy,mean_auc,std_auc_across_seeds,mean_node_std_auc,n_seeds
10,0,0,"No DP, no chunk (baseline)",0.395108,0.019013131514824182,0.05689093144237371,0.9898952777777777,0.00556903552114743,0.01302095817332902,5
25,0,0,"No DP, no chunk (baseline)",0.46726720000000005,0.015350177171615968,0.06777321775257708,0.9796398958333332,0.002842823905790127,0.017399433617255912,5
50,0,0,"No DP, no chunk (baseline)",0.491782,0.007683819362790888,0.04439813074779421,0.9754860500000001,0.0031135554555845957,0.014494259446066655,5
75,0,0,"No DP, no chunk (baseline)",0.4897938666666667,0.007164135714329674,0.038898641318228476,0.9710006666666666,0.0010783159388087287,0.016383224575287042,5
10,1,0,DP only,0.190856,0.011534467044471546,0.011110120992920766,0.5260413888888889,0.1321524999354818,0.07768167163407153,5
25,1,0,DP only,0.2164088,0.010444212713268534,0.014647408686605879,0.5037176041666667,0.09547282409587567,0.05446464544102778,5
50,1,0,DP only,0.23123080000000001,0.010224976342270925,0.008111703340170048,0.5297517,0.07544428751805035,0.05347782468728859,5
75,1,0,DP only,0.2370944,0.010533233265347441,0.008144923077077629,0.5069538,0.07600574039929119,0.053936134710742836,5
10,0,1,Topology-aware chunking,0.359682,0.0153283338951107,0.04441786354161788,0.9843675000000001,0.009686304715188995,0.01781310983576056,5
25,0,1,Topology-aware chunking,0.4045424000000001,0.014180283100135912,0.05073091938353771,0.8865945833333335,0.009365488719789417,0.07571753440515566,5
50,0,1,Topology-aware chunking,0.4456772,0.004497270416597193,0.04734078188904358,0.7477566999999999,0.00778278155891262,0.06973586087285386,5
75,0,1,Topology-aware chunking,0.4654221333333333,0.005370483826745349,0.04354802989888728,0.6739507,0.004692715595295869,0.03896794134437036,5
10,1,1,ChunkDP,0.187414,0.010391688024570418,0.02585692991976236,0.5644575,0.11979032732182023,0.0894496007798895,5
25,1,1,ChunkDP,0.2315728,0.009606245218606486,0.030645136331750127,0.5523040625,0.05528559039125784,0.0714483079302118,5
50,1,1,ChunkDP,0.2815424,0.007672753925416866,0.02659879350287956,0.5458045,0.03537620021152993,0.04010881856169428,5
75,1,1,ChunkDP,0.3070432,0.005716779715111586,0.010544388003433231,0.5425495,0.02439838307114037,0.02740793657761542,5
