condition,mean_accuracy,mean_auc,S_lambda_0_25,S_lambda_0_50,S_lambda_0_75
"No DP, no chunk (baseline)",0.49321780000000004,0.9701964750000001,0.1348151125,-0.22358757500000004,-0.5819902625000001
DP only,0.2365932,0.45771164999999997,0.17744490000000002,0.1182966,0.0591483
Topology-aware chunking,0.4658314,0.63754095,0.28060307500000004,0.09537475000000001,-0.08985357499999999
Fixed-K chunking (K=8),0.49060319999999996,0.689959475,0.27297266249999996,0.05534212499999999,-0.16228841249999998
Fixed-K chunking (K=16),0.4694166,0.634546675,0.28478911250000005,0.10016162500000006,-0.08446586249999992
Fixed-K chunking (K=32),0.4545114,0.597791725,0.29198768750000004,0.129463975,-0.03305973749999999
Fixed-K chunking (K=64),0.4125286,0.574294725,0.27224908750000004,0.131969575,-0.008309937500000003
Fixed-K chunking (K=128),0.35970179999999996,0.565708075,0.2369223125,0.114142825,-0.008636662499999975
ChunkDP,0.3088364,0.531639925,0.2158073375,0.12277827499999999,0.029749212499999983
