round,node_id,degree,betweenness,closeness,k_core,epsilon,global_test_acc,avg_auc,max_auc,argmax_attacker,avg_chunk_frac,max_chunk_frac,argmax_chunk_attacker,enable_dp,enable_chunking,chunks_per_neighbor,dp_noise,dp_max_grad_norm
1,0,3,0.009006211180124225,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
1,1,6,0.0977743271221532,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
1,2,4,0.008494363929146537,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
1,3,6,0.12735507246376812,0.5125968992248062,3,,,,,,,,,0,1,1,0.0,0.0
1,4,5,0.09609788359788358,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
1,5,5,0.029428341384863117,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
1,6,6,0.09412238325281805,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
1,7,4,0.022202093397745568,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
1,8,1,0.0,0.3339646464646465,1,,,,,,,,,0,1,1,0.0,0.0
1,9,5,0.08226650563607087,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
1,10,8,0.14603174603174604,0.5009469696969697,3,,,,,,,,,0,1,1,0.0,0.0
1,11,1,0.0,0.3148809523809524,1,,,,,,,,,0,1,1,0.0,0.0
1,12,4,0.06088969404186796,0.4238782051282051,2,,,,,,,,,0,1,1,0.0,0.0
1,13,2,0.0,0.35551075268817206,2,,,,,,,,,0,1,1,0.0,0.0
1,14,0,0.0,0.0,0,,,,,,,,,0,1,1,0.0,0.0
1,15,5,0.04957729468599034,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
1,16,6,0.07523867034736599,0.5248015873015873,3,,,,,,,,,0,1,1,0.0,0.0
1,17,2,0.002717391304347826,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
1,18,4,0.030503795721187027,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
1,19,9,0.22223659995399123,0.5510416666666667,3,,,,,,,,,0,1,1,0.0,0.0
1,20,7,0.07804807913503564,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
1,21,2,0.005555555555555555,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
1,22,3,0.01573498964803312,0.38669590643274854,2,,,,,,,,,0,1,1,0.0,0.0
1,23,2,0.003059581320450886,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
1,24,2,0.01177536231884058,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
2,0,3,0.009006211180124225,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
2,1,6,0.0977743271221532,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
2,2,4,0.008494363929146537,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
2,3,6,0.12735507246376812,0.5125968992248062,3,,,,,,,,,0,1,1,0.0,0.0
2,4,5,0.09609788359788358,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
2,5,5,0.029428341384863117,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
2,6,6,0.09412238325281805,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
2,7,4,0.022202093397745568,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
2,8,1,0.0,0.3339646464646465,1,,,,,,,,,0,1,1,0.0,0.0
2,9,5,0.08226650563607087,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
2,10,8,0.14603174603174604,0.5009469696969697,3,,,,,,,,,0,1,1,0.0,0.0
2,11,1,0.0,0.3148809523809524,1,,,,,,,,,0,1,1,0.0,0.0
2,12,4,0.06088969404186796,0.4238782051282051,2,,,,,,,,,0,1,1,0.0,0.0
2,13,2,0.0,0.35551075268817206,2,,,,,,,,,0,1,1,0.0,0.0
2,14,0,0.0,0.0,0,,,,,,,,,0,1,1,0.0,0.0
2,15,5,0.04957729468599034,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
2,16,6,0.07523867034736599,0.5248015873015873,3,,,,,,,,,0,1,1,0.0,0.0
2,17,2,0.002717391304347826,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
2,18,4,0.030503795721187027,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
2,19,9,0.22223659995399123,0.5510416666666667,3,,,,,,,,,0,1,1,0.0,0.0
2,20,7,0.07804807913503564,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
2,21,2,0.005555555555555555,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
2,22,3,0.01573498964803312,0.38669590643274854,2,,,,,,,,,0,1,1,0.0,0.0
2,23,2,0.003059581320450886,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
2,24,2,0.01177536231884058,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
3,0,3,0.009006211180124225,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
3,1,6,0.0977743271221532,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
3,2,4,0.008494363929146537,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
3,3,6,0.12735507246376812,0.5125968992248062,3,,,,,,,,,0,1,1,0.0,0.0
3,4,5,0.09609788359788358,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
3,5,5,0.029428341384863117,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
3,6,6,0.09412238325281805,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
3,7,4,0.022202093397745568,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
3,8,1,0.0,0.3339646464646465,1,,,,,,,,,0,1,1,0.0,0.0
3,9,5,0.08226650563607087,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
3,10,8,0.14603174603174604,0.5009469696969697,3,,,,,,,,,0,1,1,0.0,0.0
3,11,1,0.0,0.3148809523809524,1,,,,,,,,,0,1,1,0.0,0.0
3,12,4,0.06088969404186796,0.4238782051282051,2,,,,,,,,,0,1,1,0.0,0.0
3,13,2,0.0,0.35551075268817206,2,,,,,,,,,0,1,1,0.0,0.0
3,14,0,0.0,0.0,0,,,,,,,,,0,1,1,0.0,0.0
3,15,5,0.04957729468599034,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
3,16,6,0.07523867034736599,0.5248015873015873,3,,,,,,,,,0,1,1,0.0,0.0
3,17,2,0.002717391304347826,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
3,18,4,0.030503795721187027,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
3,19,9,0.22223659995399123,0.5510416666666667,3,,,,,,,,,0,1,1,0.0,0.0
3,20,7,0.07804807913503564,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
3,21,2,0.005555555555555555,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
3,22,3,0.01573498964803312,0.38669590643274854,2,,,,,,,,,0,1,1,0.0,0.0
3,23,2,0.003059581320450886,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
3,24,2,0.01177536231884058,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
4,0,3,0.009006211180124225,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
4,1,6,0.0977743271221532,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
4,2,4,0.008494363929146537,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
4,3,6,0.12735507246376812,0.5125968992248062,3,,,,,,,,,0,1,1,0.0,0.0
4,4,5,0.09609788359788358,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
4,5,5,0.029428341384863117,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
4,6,6,0.09412238325281805,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
4,7,4,0.022202093397745568,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
4,8,1,0.0,0.3339646464646465,1,,,,,,,,,0,1,1,0.0,0.0
4,9,5,0.08226650563607087,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
4,10,8,0.14603174603174604,0.5009469696969697,3,,,,,,,,,0,1,1,0.0,0.0
4,11,1,0.0,0.3148809523809524,1,,,,,,,,,0,1,1,0.0,0.0
4,12,4,0.06088969404186796,0.4238782051282051,2,,,,,,,,,0,1,1,0.0,0.0
4,13,2,0.0,0.35551075268817206,2,,,,,,,,,0,1,1,0.0,0.0
4,14,0,0.0,0.0,0,,,,,,,,,0,1,1,0.0,0.0
4,15,5,0.04957729468599034,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
4,16,6,0.07523867034736599,0.5248015873015873,3,,,,,,,,,0,1,1,0.0,0.0
4,17,2,0.002717391304347826,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
4,18,4,0.030503795721187027,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
4,19,9,0.22223659995399123,0.5510416666666667,3,,,,,,,,,0,1,1,0.0,0.0
4,20,7,0.07804807913503564,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
4,21,2,0.005555555555555555,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
4,22,3,0.01573498964803312,0.38669590643274854,2,,,,,,,,,0,1,1,0.0,0.0
4,23,2,0.003059581320450886,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
4,24,2,0.01177536231884058,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
5,0,3,0.009006211180124225,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
5,1,6,0.0977743271221532,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
5,2,4,0.008494363929146537,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
5,3,6,0.12735507246376812,0.5125968992248062,3,,,,,,,,,0,1,1,0.0,0.0
5,4,5,0.09609788359788358,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
5,5,5,0.029428341384863117,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
5,6,6,0.09412238325281805,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
5,7,4,0.022202093397745568,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
5,8,1,0.0,0.3339646464646465,1,,,,,,,,,0,1,1,0.0,0.0
5,9,5,0.08226650563607087,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
5,10,8,0.14603174603174604,0.5009469696969697,3,,,,,,,,,0,1,1,0.0,0.0
5,11,1,0.0,0.3148809523809524,1,,,,,,,,,0,1,1,0.0,0.0
5,12,4,0.06088969404186796,0.4238782051282051,2,,,,,,,,,0,1,1,0.0,0.0
5,13,2,0.0,0.35551075268817206,2,,,,,,,,,0,1,1,0.0,0.0
5,14,0,0.0,0.0,0,,,,,,,,,0,1,1,0.0,0.0
5,15,5,0.04957729468599034,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
5,16,6,0.07523867034736599,0.5248015873015873,3,,,,,,,,,0,1,1,0.0,0.0
5,17,2,0.002717391304347826,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
5,18,4,0.030503795721187027,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
5,19,9,0.22223659995399123,0.5510416666666667,3,,,,,,,,,0,1,1,0.0,0.0
5,20,7,0.07804807913503564,0.46897163120567376,3,,,,,,,,,0,1,1,0.0,0.0
5,21,2,0.005555555555555555,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
5,22,3,0.01573498964803312,0.38669590643274854,2,,,,,,,,,0,1,1,0.0,0.0
5,23,2,0.003059581320450886,0.36133879781420764,2,,,,,,,,,0,1,1,0.0,0.0
5,24,2,0.01177536231884058,0.36736111111111114,2,,,,,,,,,0,1,1,0.0,0.0
6,0,3,0.009006211180124225,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
6,1,6,0.0977743271221532,0.4898148148148148,3,,,,,,,,,0,1,1,0.0,0.0
6,2,4,0.008494363929146537,0.4238782051282051,3,,,,,,,,,0,1,1,0.0,0.0
6,3,6,0.12735507246376812,0.5125968992248062,3,,,,,,,,,0,1,1,0.0,0.0
6,4,5,0.09609788359788358,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
6,5,5,0.029428341384863117,0.44083333333333335,3,,,,,,,,,0,1,1,0.0,0.0
6,6,6,0.09412238325281805,0.45920138888888895,3,,,,,,,,,0,1,1,0.0,0.0
