optim_for_lambda,argmax_row_index,dp_noise,dp_max_grad_norm,mean_accuracy,mean_auc,S_lambda_0_25,S_lambda_0_50,S_lambda_0_75
0.25,2,0.1,2.0,0.36091480000000004,0.5720195250000001,0.2346763375,0.10843787499999993,-0.017800587500000117
0.5,0,0.1,1.0,0.3111294,0.538102725,0.2142956875,0.117461975,0.020628262499999994
0.75,18,0.7,1.0,0.29001520000000003,0.53155695,0.201732925,0.11345064999999999,0.025168374999999965
