round,node_id,degree,betweenness,closeness,k_core,epsilon,global_test_acc,avg_auc,max_auc,argmax_attacker,avg_chunk_frac,max_chunk_frac,argmax_chunk_attacker,enable_dp,enable_chunking,chunks_per_neighbor,dp_noise,dp_max_grad_norm
1,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
1,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
1,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
1,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
1,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
1,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
1,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
1,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
1,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
1,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
2,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
2,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
2,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
2,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
2,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
2,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
2,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
2,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
2,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
2,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
3,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
3,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
3,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
3,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
3,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
3,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
3,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
3,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
3,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
3,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
4,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
4,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
4,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
4,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
4,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
4,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
4,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
4,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
4,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
4,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
5,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
5,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
5,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
5,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
5,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
5,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
5,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
5,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
5,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
5,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
6,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
6,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
6,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
6,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
6,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
6,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
6,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
6,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
6,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
6,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
7,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
7,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
7,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
7,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
7,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
7,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
7,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
7,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
7,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
7,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
8,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
8,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
8,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
8,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
8,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
8,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
8,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
8,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
8,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
8,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
9,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
9,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
9,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
9,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
9,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
9,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
9,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
9,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
9,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
9,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
10,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
10,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
10,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
10,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
10,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
10,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
10,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
10,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
10,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
10,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
11,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
11,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
11,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
11,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
11,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
11,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
11,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
11,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
11,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
11,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
12,0,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
12,1,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
12,2,2,0.027777777777777776,0.2222222222222222,1,,,,,,,,,0,0,1,0.0,0.0
12,3,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
12,4,1,0.0,0.14814814814814814,1,,,,,,,,,0,0,1,0.0,0.0
12,5,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
12,6,2,0.1111111111111111,0.2962962962962963,1,,,,,,,,,0,0,1,0.0,0.0
12,7,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
12,8,2,0.08333333333333333,0.25396825396825395,1,,,,,,,,,0,0,1,0.0,0.0
12,9,1,0.0,0.17777777777777778,1,,,,,,,,,0,0,1,0.0,0.0
