enable_dp,enable_chunking,condition,mean_accuracy,std_accuracy_across_seeds,mean_node_std_accuracy,mean_auc,std_auc_across_seeds,mean_node_std_auc,n_seeds,privacy_risk,score
0,0,"No DP, no chunk (baseline)",0.4831092,0.004711418809658093,0.044871144633708095,0.9694187750000001,0.0031360472737389303,0.01714809467715197,5,0.9388375500000001,-0.22786417500000006
1,0,DP only,0.2305848,0.010076919256399738,0.008949755466907343,0.4570773,0.04939437980559819,0.05751304882291913,5,0.0,0.1152924
0,1,Topology-aware chunking,0.45582779999999995,0.004646125557924591,0.04368258128860543,0.7317248999999999,0.006370012307680427,0.07217345684681611,5,0.4634497999999998,-0.0038109999999999256
0,1,Fixed-K chunking (K=8),0.4732324,0.00579557687378917,0.042101787310815944,0.7037414249999999,0.010496070595703922,0.06823717000241128,5,0.40748284999999984,0.03287477500000008
0,1,Fixed-K chunking (K=16),0.44900700000000004,0.0017370744083083879,0.0420606557529302,0.642362875,0.004348636696389704,0.05294379539982652,5,0.28472575,0.08214062500000002
0,1,Fixed-K chunking (K=32),0.4094904,0.005283342814923113,0.03367635717726043,0.59179445,0.009750063795704783,0.036638228051367794,5,0.18358889999999994,0.11295075000000002
0,1,Fixed-K chunking (K=64),0.3539844,0.008038663122684036,0.03057579957822465,0.5625776499999999,0.019563643145793154,0.02690557849311004,5,0.12515529999999986,0.11441455000000006
0,1,Fixed-K chunking (K=128),0.315883,0.003384100619071461,0.02231592662839618,0.5564588500000001,0.020398735913539263,0.023604389006907023,5,0.11291770000000012,0.10148264999999995
1,1,ChunkDP,0.297581,0.006584334400681679,0.012962744078087816,0.5288546249999999,0.02111322461104804,0.03976010045668148,5,0.05770924999999982,0.11993587500000008
