condition,mean_accuracy,mean_auc,S_lambda_0_25,S_lambda_0_50,S_lambda_0_75
"No DP, no chunk (baseline)",0.4831092,0.9694187750000001,0.1276225125,-0.22786417500000006,-0.5833508625000001
DP only,0.2305848,0.4570773,0.1729386,0.1152924,0.0576462
Topology-aware chunking,0.45582779999999995,0.7317248999999999,0.2260084,-0.0038109999999999256,-0.23363039999999985
Fixed-K chunking (K=8),0.4732324,0.7037414249999999,0.2530535875,0.03287477500000008,-0.18730403749999988
Fixed-K chunking (K=16),0.44900700000000004,0.642362875,0.26557381250000006,0.08214062500000002,-0.10129256249999999
Fixed-K chunking (K=32),0.4094904,0.59179445,0.261220575,0.11295075000000002,-0.035319074999999964
Fixed-K chunking (K=64),0.3539844,0.5625776499999999,0.23419947500000005,0.11441455000000006,-0.0053703749999998995
Fixed-K chunking (K=128),0.315883,0.5564588500000001,0.208682825,0.10148264999999995,-0.005717525000000084
ChunkDP,0.297581,0.5288546249999999,0.20875843750000003,0.11993587500000008,0.03111331250000013
