condition,mean_accuracy,mean_auc,S_lambda_0_25,S_lambda_0_50,S_lambda_0_75
"No DP, no chunk (baseline)",0.356612,0.9969928125,0.01896259374999998,-0.3186868125000001,-0.65633621875
"No DP, no chunk (baseline)",0.40553999999999996,0.981130375,0.06358981249999995,-0.278360375,-0.6203105625
"No DP, no chunk (baseline)",0.46502,0.9777854166666667,0.10987229166666662,-0.24527541666666675,-0.6004231250000001
"No DP, no chunk (baseline)",0.48273226666666663,0.9731258666666667,0.12548626666666662,-0.23175973333333336,-0.5890057333333334
DP only,0.187556,0.57824875,0.101542625,0.015529250000000022,-0.07048412499999997
DP only,0.1955944,0.51350125,0.13994517499999998,0.08429594999999998,0.02864672499999997
DP only,0.21027239999999997,0.5312440104166666,0.14208229479166667,0.0738921895833334,0.005702084375000124
DP only,0.22585573333333336,0.5041937666666666,0.16729491666666674,0.10873410000000008,0.05017328333333344
Topology-aware chunking,0.34299,0.9943996875,0.01004265625000006,-0.32290468749999995,-0.6558520312499999
Topology-aware chunking,0.362872,0.952519375,0.045894312500000034,-0.27108337499999996,-0.5880610624999999
Topology-aware chunking,0.41229360000000004,0.8866851041666667,0.11587764791666672,-0.18053830416666666,-0.47695425625
Topology-aware chunking,0.44373386666666664,0.8016510333333333,0.18197488333333334,-0.0797841,-0.34154308333333333
ChunkDP,0.18974,0.5846271875,0.09999140625,0.010242812500000018,-0.07950578124999996
ChunkDP,0.16975120000000002,0.512602875,0.12101196250000001,0.072272725,0.023533487499999985
ChunkDP,0.2377952,0.5515153645833333,0.15258871770833338,0.06738223541666673,-0.017824246874999915
ChunkDP,0.27836666666666665,0.5417938666666666,0.18787806666666668,0.0973894666666667,0.006900866666666727
