er_p,condition,mia_auc_column,normal_mean_test_accuracy,broadcast_mean_test_accuracy,diff_mean_test_accuracy_broadcast_minus_normal,normal_mean_mia_auc,broadcast_mean_mia_auc,diff_mean_mia_auc_broadcast_minus_normal,normal_n_seeds,broadcast_n_seeds,normal_std_test_accuracy_across_seeds,broadcast_std_test_accuracy_across_seeds,normal_mean_within_run_std_test_accuracy_over_nodes,broadcast_mean_within_run_std_test_accuracy_over_nodes,normal_std_mia_auc_across_seeds,broadcast_std_mia_auc_across_seeds,normal_mean_within_run_std_mia_auc_over_nodes,broadcast_mean_within_run_std_mia_auc_over_nodes
0.08,Topology-aware chunking,max_auc,0.45582779999999995,0.46564939999999994,0.009821599999999986,0.7317248999999999,0.7261982999999999,-0.005526600000000048,5,5,0.004646125557924591,0.00333529808263071,0.04368258128860543,0.042298085054592746,0.006370012307680427,0.005108458562001478,0.07217345684681611,0.08902231555416538
0.08,ChunkDP,max_auc,0.297581,0.29876059999999993,0.0011795999999999474,0.5288546249999999,0.524416925,-0.004437699999999878,5,5,0.006584334400681679,0.008588814953181862,0.012962744078087816,0.013676628526667466,0.02111322461104804,0.019321222818647187,0.03976010045668148,0.045174464905330045
0.16,Topology-aware chunking,max_auc,0.4658314,0.4686178,0.0027863999999999667,0.63754095,0.6411358,0.0035948500000000383,5,5,0.0032711874449502455,0.008049842029505889,0.04147666156600977,0.042949154586482984,0.0032243444992743,0.0053715180717663685,0.03186749556016774,0.042581961436459176
0.16,ChunkDP,max_auc,0.3088364,0.30869540000000006,-0.00014099999999994672,0.531639925,0.5323301,0.0006901750000000151,5,5,0.005558596162701504,0.00566633314410652,0.01051509567849702,0.011528193247901225,0.0154331688472831,0.014314347680245035,0.029965606958042235,0.032974173238456146
