round,node_id,degree,betweenness,closeness,k_core,epsilon,global_test_acc,avg_auc,max_auc,argmax_attacker,avg_chunk_frac,max_chunk_frac,argmax_chunk_attacker,enable_dp,enable_chunking,chunks_per_neighbor,dp_noise,dp_max_grad_norm
1,0,2,0.03743961352657004,0.2949346405228758,2,,,,,,,,,0,0,1,0.0,0.0
1,1,4,0.16606280193236717,0.3133680555555555,2,,,,,,,,,0,0,1,0.0,0.0
1,2,4,0.18417874396135267,0.35813492063492064,2,,,,,,,,,0,0,1,0.0,0.0
1,3,2,0.009057971014492754,0.26388888888888884,2,,,,,,,,,0,0,1,0.0,0.0
1,4,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
1,5,3,0.024758454106280192,0.28380503144654085,2,,,,,,,,,0,0,1,0.0,0.0
1,6,3,0.10144927536231885,0.26860119047619047,2,,,,,,,,,0,0,1,0.0,0.0
1,7,1,0.0,0.2465846994535519,1,,,,,,,,,0,0,1,0.0,0.0
1,8,1,0.0,0.2465846994535519,1,,,,,,,,,0,0,1,0.0,0.0
1,9,2,0.05434782608695652,0.26388888888888884,2,,,,,,,,,0,0,1,0.0,0.0
1,10,5,0.19082125603864736,0.3498062015503876,2,,,,,,,,,0,0,1,0.0,0.0
1,11,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
1,12,1,0.0,0.22120098039215685,1,,,,,,,,,0,0,1,0.0,0.0
1,13,1,0.0,0.22790404040404041,1,,,,,,,,,0,0,1,0.0,0.0
1,14,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
1,15,4,0.1068840579710145,0.32003546099290775,2,,,,,,,,,0,0,1,0.0,0.0
1,16,2,0.06582125603864733,0.30083333333333334,2,,,,,,,,,0,0,1,0.0,0.0
1,17,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
1,18,2,0.0857487922705314,0.2949346405228758,2,,,,,,,,,0,0,1,0.0,0.0
1,19,5,0.16908212560386474,0.33425925925925926,2,,,,,,,,,0,0,1,0.0,0.0
1,20,3,0.12318840579710146,0.30083333333333334,2,,,,,,,,,0,0,1,0.0,0.0
1,21,1,0.0,0.23875661375661372,1,,,,,,,,,0,0,1,0.0,0.0
1,22,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
1,23,1,0.0,0.23141025641025642,1,,,,,,,,,0,0,1,0.0,0.0
1,24,1,0.0,0.20326576576576574,1,,,,,,,,,0,0,1,0.0,0.0
2,0,2,0.03743961352657004,0.2949346405228758,2,,,,,,,,,0,0,1,0.0,0.0
2,1,4,0.16606280193236717,0.3133680555555555,2,,,,,,,,,0,0,1,0.0,0.0
2,2,4,0.18417874396135267,0.35813492063492064,2,,,,,,,,,0,0,1,0.0,0.0
2,3,2,0.009057971014492754,0.26388888888888884,2,,,,,,,,,0,0,1,0.0,0.0
2,4,0,0.0,0.0,0,,,,,,,,,0,0,1,0.0,0.0
2,5,3,0.024758454106280192,0.28380503144654085,2,,,,,,,,,0,0,1,0.0,0.0
2,6,3,0.10144927536231885,0.26860119047619047,2,,,,,,,,,0,0,1,0.0,0.0
2,7,1,0.0,0.2465846994535519,1,,,,,,,,,0,0,1,0.0,0.0
2,8,1,0.0,0.2465846994535519,1,,,,,,,,,0,0,1,0.0,0.0
