optim_for_lambda,argmax_row_index,dp_noise,dp_max_grad_norm,mean_accuracy,mean_auc,S_lambda_0_25,S_lambda_0_50,S_lambda_0_75
0.25,2,0.1,2.0,0.3670798,0.560978625,0.24482053750000005,0.12256127500000005,0.0003020125000000734
0.5,2,0.1,2.0,0.3670798,0.560978625,0.24482053750000005,0.12256127500000005,0.0003020125000000734
0.75,6,0.3,1.0,0.31271839999999995,0.539771375,0.21465311249999994,0.11658782499999992,0.018522537499999908
