dp_noise,dp_max_grad_norm,mean_accuracy,std_accuracy,mean_auc,std_auc,n_runs,n_nodes,privacy_risk,score
0.1,2.0,0.3670798,0.006878738816091214,0.560978625,0.02220221368625915,5,100,0.1219572499999999,0.12256127500000005
0.2,2.0,0.3668264,0.00684654842238044,0.560894875,0.022219432260622077,5,100,0.12178975000000003,0.12251832499999998
0.3,2.0,0.3658976,0.006863221823604417,0.5610120500000001,0.021537471038068214,5,100,0.12202410000000019,0.1219367499999999
0.4,2.0,0.3644698,0.006591105347360178,0.56073505,0.021914230357485465,5,100,0.12147010000000003,0.12149984999999999
0.5,2.0,0.36293040000000004,0.0060890792653733915,0.56063505,0.0221909784615914,5,100,0.12127010000000005,0.12083015
0.6,2.0,0.3609484,0.005837340987127602,0.56033445,0.022052937214660312,5,100,0.12066890000000008,0.12013974999999996
0.1,1.5,0.3458832,0.005991856907503712,0.5543029500000001,0.022776391523694536,5,100,0.10860590000000014,0.11863864999999993
0.7,2.0,0.35895900000000003,0.005805301499491618,0.560855425,0.022123585948562605,5,100,0.12171084999999993,0.11862407500000005
0.2,1.5,0.345676,0.006080639768971686,0.5544800249999999,0.02291005932315813,5,100,0.10896004999999986,0.11835797500000006
0.3,1.5,0.34513119999999997,0.006054321819989434,0.5544205750000001,0.023069954075288897,5,100,0.10884115000000016,0.1181450249999999
0.4,1.5,0.3443868,0.006078740510994054,0.5546608,0.023278744086377662,5,100,0.10932159999999991,0.11753260000000004
0.5,1.5,0.34328780000000003,0.005948570139117468,0.554684825,0.023262336526930983,5,100,0.1093696500000001,0.11695907499999997
0.3,1.0,0.31271839999999995,0.005071187365893699,0.539771375,0.022542300023199496,5,100,0.0795427500000001,0.11658782499999992
0.6,1.5,0.3420724,0.005970293150256552,0.554744025,0.02285461169894108,5,100,0.10948804999999995,0.11629217500000003
0.4,1.0,0.3123414,0.005151241287301551,0.5399874,0.02278279019097391,5,100,0.07997480000000001,0.11618329999999999
0.1,1.0,0.313153,0.004994584216929363,0.540411075,0.022838027450566158,5,100,0.08082214999999993,0.11616542500000004
0.2,1.0,0.3130274,0.004973439483898429,0.540390125,0.0228851234887153,5,100,0.08078025000000011,0.11612357499999995
0.7,1.5,0.34069380000000005,0.006082083335502703,0.554562625,0.02334296059324552,5,100,0.10912524999999995,0.11578427500000005
0.5,1.0,0.311877,0.005084033880689622,0.5402487,0.022825433792016955,5,100,0.08049740000000005,0.11568979999999998
0.6,1.0,0.3113644,0.005044135535451053,0.540326725,0.022724627988807363,5,100,0.08065345000000002,0.11535547499999999
0.7,1.0,0.3106142,0.005009582038453906,0.54022985,0.02300046994007001,5,100,0.08045970000000002,0.11507724999999999
